,content
0,There were 490 new deaths in India in the last 24 hours.
1,"Less than 50,000 cases reported in the last 24 hours"
2,Difference between Recovered and Active Cases steadily Increasing
3,"India has reported less than 50,000 new cases of COVID-19 every day."
4,The number of patients recovering has outstripped new cases for the 37th day in a row.
5,The number of positive cases in India is continuing to decline.
6,"The Recovery Rate of 92.49% is a reflection of the 78,68,968 recovered cases. The gap between Recovered cases and Active cases is increasing."
7,76% of the new recovered cases are observed to be concentrated in 10 States/UTs.
8,"Kerala displaced Maharashtra to have the maximum number of single day recoveries.7,120 people recovered in Kerala during the last 24 hours followed by 6,478 in Maharashtra."
9,76% of the new cases are from 10 States and UTs.
10,"Kerala reported the most cases in the last 24 hours, followed by Delhi and Maharashtra."
11,559 case fatalities have been reported in the past 24 hours.
12,Maharashtra has the highest number of new deaths with 150 deaths. Delhi and West Bengal have the highest numbers of new fatalities with 79 and 58 deaths each.
13,Health Ministry’s telemedicine service eSanjeevani completes 7 lakh consultations
14,"Recent Trend of over 10,000 Patient-Doctor Consultations per day helped reach the Last 1 lakh figure in 11 days"
15,"eSanjeevani, the national telemedicine service set up by the Ministry of Health and Family Welfare, Government of India, has completed 7.5 million consultations today."
16,The eSanjeevani telemedicine service has started making impact in smaller towns and rural areas. eSanjevani has removed the requirement of doctor to be at a specific location to provide services. ePrescription is generated during online OPD consultation.
17,The eSanjeevani platform is being used more in States. 
18,eSanjeevani supports two types of online consultation with general physicians and medical specialists: Doctor-to-Doctor (eSanjevani AB-HWC) and OPD-Tele-consultations. The latter variant was rolled out in November 2019. The aim of the Ayushman Bharat Health and Wellness Centre is to be implemented in all the 1.5 lakh Health and wellness centres by December 2022. States need to set up dedicated 'Hubs' in Medical Colleges.
19,New Recoveries more than New Cases since the last 35 days
20,Trend of Continuous Decline in Active Cases sustained over the last 5 weeks
21,India’s daily new recoveries have been exceeding the daily new cases for more than a month.
22,The number of recovered cases has declined in the last week.
23,The number of new cases has declined steadily in the last five weeks.
24,The number of positive cases in India is on the decline.
25,"The number of recovered cases has risen to 78,19,886, pushing the national Recovery Rate to 92.41%."
26,79% of the new recovered cases are observed to be concentrated in 10 States/UTs.
27,"Maharashtra continues to have the maximum number of single day recoveries.11,060 recoveries have pushed up the State’s total recoveries to 15,62,342."
28,18 States and Unites are reporting a higher recovery rate than the national average.
29,77% of the new cases are from 10 States and UTs.
30,Delhi has reported more new cases than in Kerala.
31,577 case fatalities have been reported in the past 24 hours.
32,Maharashtra has the highest number of new deaths with 161 deaths. Delhi and West Bengal have the second highest number with 64 and 55 deaths each.
33,Dr. Harsh Vardhan discusses implementation of Prime Minister's Jan Andolan with Health and Medical Education Minister of ChhattisgarhSh. T.S. Singh Deo.
34,“We all need to be more vigilant for the next three months.”Rise in Daily Cases and Mortality in Some Districts in Chhattisgarh Key Points of Concern
35,"Dr. Harsh Vardhan met with Sh. Tribhuvaneshwar Saran Singh Deo, Health Minister of Chhattisgarh."
36,"The coming winter and the long festive season pose a risk to COVID-19. Dr. Harsh Vardhan reminds people to be vigilant and to follow the Prime Minister’s advice of wearing a mask, maintaining a physical distance and washing frequently."
37,"The recovery rate of Chhattisgarh is 87%, lower than the national rate of 92%. The CFR is 1.19%, compared to 1.49% for the entire country. There are more positive cases of HIV/Aids in the districts of Rajnandgaon, Durg, Raipur, Bilaspur, Raigarh and Baloda-bazar and in tribal areas. There were 34.8% deaths within 24 and 72 hours of hospitalization."
38,The ratio of RT-PCR to RAT in the State is 20:80%.
39,"The third area of concern highlighted by Dr Harsh Vardhan was the spike in the number of daily deaths in the recent days, averaging about 50."
40,"Dr. Sujeet Singh, Director, National Centre for Disease Control (NCDC) informed everybody present on the trajectory of COVID in the various districts of Chhattisgarh."
41,The recent rise in death figures is due to clearing the backlog of the earlier days.
42,Dr Harsh Vardhan met District Medical Officers (DMs) of districts reporting a rise in cases of malaria.
43,"Sh. Rajesh Bhushan, Union Health Secretary, has asked the Chhattisgarh Administration to step up testing of areas where superspreading may take place. He has also asked for appeals for following COVID appropriate behaviour to be made by Panchayat representatives, ULB representatives, MLAs, Cabinet ministers and other prominent personalities in the State."
44,"Ms.Renu G. Pillay, Additional Chief Secretary, Health and Medical Education, Chhattisgarh was present in the meeting. Lav Agarwal, Jt. Secretary (Health), senior officials of the Ministry were also present."
45,New Recoveries exceed New Cases continuously from last 5 weeks
46,Sustained dip in the Active Cases; stand at 5.2 lakh today
47,Less than half of the new cases reported in India in the last 24 hours were from HIV/Aids.
48,"54,157 COVID patients have recovered and discharged in the last 24 hours whereas the new confirmed cases presently are pegged at 47,638."
49,There has been a continuous decline in average daily new cases for the last 5 weeks.
50,The number of positive cases is on a sustained decline.
51,The number of active cases is declining. The number of recovered cases is increasing.
52,80% of the new recovered cases are observed to be concentrated in 10 States/UTs.
53,"Maharashtra has contributed the maximum with more than 11,000 single day recoveries."
54,The number of new cases is increasing.
55,"Maharashtra is reporting a very high number of new cases with more than 10,000 cases followed by Kerala with more than 9,000 cases."
56,670 case fatalities have been reported in the past 24 hours.
57,Maharashtra has the highest number of new deaths with 256 deaths. Delhi has 66 deaths.
58,“Let’s end it by 2020”: Dr. Harsh Vardhan.
59,Rise in Positivity Rate across 6 districts key Point of ConcernPresses for mandatory testing of all RAT negative persons if they develop ILI/SARI symptoms
60,"Dr. Harsh Vardhan met with Sh. Anil Baijal, Lt. Governor, Delhi and Satyendra Kumar Jain, Delhi Health Minister."
61,"Dr. Harsh Vardhan, the minister of environment, environment and health, has urged the officers to instil COVID appropriate behaviour among the masses to curb the infectious disease."
62,"Delhi's COVID recovery rate is 89%, while the country's is more than 92%."
