,content
0,The Tezpur University community should provide innovative solutions to local and national problems: President Kovind
1,President of India graces the 19th Convocation of Tezpur University
2,"The President of India, Shri Ram Nath Kovind, was speaking at the 19th Convocation of Tezpur University at Tezur, Assam today. He urged students and faculty of the university to provide innovative solutions to local and national problems."
3,"The President of Assam, Shri Ramachandranath, called for greater awareness on environmental protection and sustainable development."
4,The President of Assam has praised Assam's efforts in conservation of bio-diversity.
5,The Tezpur University has received approval under the Prime Minister-Formalization of Micro Food Processing Enterprises Scheme for setting up an incubation centre to process jackfruit and ready to eat cereals-based products. The Food Engineering & Technology Department has been recognised as a State Level Technical Institute.
6,The President of Tezpur University has said that the central government has decided to establish a Digital University to provide access to students across the country for world-class quality universal education.
7,The President of Tezpur University has called on the team to work towards the goals set by the university.
8,"The Mughal Gardens will remain open for the general public till March 16, 2022 (except on Mondays which are maintenance days andMarch 1, 2022 - Gazetted Holiday) between 1000 hrs to 1700 hrs (last entry at 1600 hrs)."
9,Seven pre-booked hourly slots for tours have been expanded. Each tour can accommodate up to 300 people.
10,Booking can be made onhttps://rashtrapatisachivalaya.gov.in/rbvisit/visit_plan.aspx.
11,The new entrance and exit for visitors to the President’s Estate will be from Gate No. 35.
12,India believes in 'Security and Growth for all in the Region' to focus on cooperative measures for sustainable use of oceans:President Kovind 
13,President of India witnesses the fleet review-2022 at Visakhapatnam 
14,India believes in security and growth for all in the region through co-operation with other countries concerned with oceans.
15,The Indian Navy has been providing humanitarian aid to friendly nations during the Covid-19 pandemic.
16,The President of India has paid tribute to the historical importance of Visakhapatnam as a port city.
17,The President praised the indigenous shipbuilding capabilities of the Indian Navy.
18,The President congratulated the Indian Navy on the splendid conduct of the Fleet Review.
19,The President of India as the Supreme Commander of the Armed Forces reviews the Indian NavalFleetonce in his/her term as part of the ‘President’s Fleet Review’.
20,Click here to see President's Speech
21,"Various Religious Traditions and Practices are Prevalent in Different Parts of Our Country, but there is only One Belief and that is to work for the Welfare of all Considering the Entire Humanity as one Family: President Kovind"
22,"President of India Inaugurates the Three-Year long Celebrations of 150th Birth Anniversary of Srimad Bhakti Siddhanta Saraswati Goswami Prabhupad, founder of Gaudiya Math and Mission in Puri"
23,"The President of India, Shri Ram Nath Kovind, inaugurated the three-year long celebrations of the 150th birth anniversary of Srimad Bhakti Siddhanta Saraswati Goswami Prabhupad, the founder of Gaudiya Math and Mission in Puri, Odisha today."
24,The tradition of worshiping God with Bhakti-Bhav (devotion) has been significant in India. Sri Chaitanya Mahaprabhu is a great saint.
25,The President has paid tribute to Sri Chaitanya Mahaprabhu.
26,The saints of Bhakti-Marg were above the prevailing discrimination of that time. Guru Nanak Dev ji tried to build an egalitarian society while walking on the Bhaktia Marg.
27,The President praised Bhakti-Marg for their devotion to God and their service to humanity.
28,The President has congratulated Sri Chaitanya Mahaprabhu and other saints of Bhakti movement on their birth.
29,"The President expressed confidence that the Gaudiya Mission would be successful in its resolve of spreading the message of Sri Chaitanya Mahaprabhu to the world, keeping its objective of human welfare as paramount."
30,Click here to see President's Speech
31,President of India to visit Odisha and Andhra Pradesh from February 19 to 22
32,"The President of India, Shri Ram Nath Kovind will visit Odisha and Andhra Pradesh from February 19 to 22, 2022."
33,"On February 20, 2022, the President will inaugurate the three-year long celebrations of the 150thbirth anniversary of Srimad Bhakti Siddhanta Saraswati Goswami Prabhupad, the founder of Gaudiya Math and Mission in Puri."
34,"On February 21, 2022, the President of India will witness the Fleet Review and Flypast at Visakhapatnam."
35,Envoys of four Nations Present Credentials to President of India 
36,"The President of India, Shri Ram Nath Kovind accepted credentials from High Commissioner of United Republic of Tanzania and Ambassadors of Republic of Djibouti, Republic of Serbia and Republic of North Macedonia at Rashtrapati Bhavan today (February 16, 2022).Those who presented their credentials were:"
37,"H.E. Anisa K. Mbega, High Commissioner of the United Republic of Tanzania to the UK, is celebrating her birthday today."
38,"2. Isse Abdillahi Assoweh, Ambassador of the Republic of Djibouti"
39,3. Sinisa Pavic is the Serbian ambassador to the UK.
40,4. Mr. Slobodan Uzunov is the Ambassador of the Republic of North Macedonia to Greece.
41,The Indian President congratulated the four envoys on their appointments and wished them success in strengthening of bilateral ties.
42,"Through the High Commissioner and the Ambassadors, the President also conveyed his personal regards to their leaderships.Envoys present at the event reiterated their commitment to work closely to strengthen their ties with India."
43,President's greetings on the eve of Birthday of Guru Ravidas
44,"The President of India, Shri Ram Nath Kovind has greeted fellow-citizens on the eve of birthday of Guru Ravidas."
45,"In a message, the President has said, “I extend warm greetings and best wishes to all the fellow citizens on the auspicious occasion of birth anniversary of Guru Ravidasji."
46,"Guru Ravidas was a great saint, poet and social reformer."
47,Guru Ravidas was a great social reformer and an enlightened spiritual person. He tried to inculcate the feeling of mutual love and equality among the people.
48,Let us take pledge to follow the path shown by Guru Ravidasji and contribute in building a society based on equality and harmony”.
49,Please click here to see the President's message
50,"President of India Visits Dr Babasaheb Ambedkar Memorial at Ambadawe Village in Ratnagiri, Maharashtra"
51,"The President of India, Shri Ram Nath Kovind, visited Ambadawe village in the Ratnagiri district of Maharashtra today. He performed pooja and paid floral tributes to Dr B.R. Ambedkar and his family."
52,"The President of India, Babasaheb Ambedkar, has proposed to celebrate 7th November as a national student's day to commemorate the devotion and importance of Babasa he attached to education."
53,Ambadawe village has been given the name of 'Sphurti-Bhoomi' in honour of Babasaheb.
54,"The President is happy to hear that Dalit Indian Chamber of Commerce and Industry (DICCI) in association with Khadi Village Industries Corporation, Dr. Babasaheb Ambedkar Technical University and Bank of Baroda has undertaken various initiatives to make Ambadawe village self-reliant."
55,Babasaheb was an entrepreneur. He set up a company to do business as a consultant in the trading of stocks and shares. He submitted a memorandum to Viceroy Linlithgow in 1942 demanding the participation of the underprivileged in the tenders of CPWD.
56,Click here to see President's Speech
57,"President of India in Maharashtra; Inaugurates New Darbar Hall At Raj Bhavan, Mumbai"
58,"The President of India, Shri Ram Nath Kovind inaugurated the new Darbar Hall at Raj Bhavan, Mumbai today (February 11, 2022)."
59,The President congratulated the people and government of Maharashtra on inauguration of new Darbar Hall. He has visited Maharashtra 12 times in the last 4 and a half years.
60,"The President is visiting Maharashtra, the spiritual and cultural centre of India. He is visiting a state where Lata Didi passed away a week ago."
61,The President of India congratulated the Governor of Maharashtra and the state government for the construction of Darbar Hall.
62,The President said that transparency is the most important aspect of good governance in a democratic system.
63,Click here to see the President's Speech in Hindi
64,"President of India opens Rashtrapati Bhavan's Annual ""Udyanotsav"""
65,Mughal Gardens to open for the public from February 12 to March 16Entry will be through advance online booking only 
66,"The President of India, Shri Ram Nath Kovind, opened the annual “Udyanotsav” of Rashtrapati Bhavan today (February 10, 2022)."
67,"The Mughal Gardens will remain open for the general public from February 12, 2022 to March 16, 2022 (except on Mondays which are maintenance days) between 1000 hrs to 1700 hrs (last entry at 1600 hrs)."
68,This year visitors will be allowed to see the Gardens only through advance online booking.
69,Seven pre-booked hourly slots for tours are available between 1000 and 1700 hours. Each tour can accommodate a maximum of 100 people.
70,The new entrance and exit for visitors to the President’s Estate will be from Gate No. 35.
71,Visitors are not allowed to bring any heavy objects during the visit.
72,"This year's Udyanotsav will include 11 varieties of tulips, flower carpets and cacti."
73,President of India to visit Maharashtra and Telangana from February 10 to 14 
74,"The President of India, Shri Ram Nath Kovind will visit Maharashtra and Telangana from February 10 to 14, 2022."
75,"On February 11, 2022, the President will inaugurate the new Darbar Hall at Raj Bhavan, Mumbai."
76,"On February 12, 2022, the President will visit Dr. Babasaheb Ambedkar Memorial at Ambadawe village in Ratnagiri district of Maharashtra."
77,"On February 13, 2022, the President will grace the Sri Ramanuja Sahasrabdi Samaroham and unveil the gold Deity of Sri Ramanujacharyaji in Hyderabad."
78,President of India pays floral tributes to Dr. Zakir Hussain on his birth anniversary.
79,"The President of India, Shri Ram Nath Kovind, paid floral tributes to Dr Zakir Hussain, former President of India, on his birth anniversary at Rashtrapati Bhavan today (February 8, 2022)."
80,"Inclusive, equitable and quality education is every child's right: Vice President"
81,"Vice President urges private schools to come up with policies to help underprivileged studentsVice President calls upon schools to include community service in their curriculumIt is our duty to protect and promote our rich and diverse art forms: Vice PresidentVice President inaugurates Indoor Sports Arena and L’atelier at Greenwood International High School, Bengaluru"
82,"The Vice President, Shri M. Venkaiah Naidu, has called for better education for underprivileged and needy children."
83,"Addressing a gathering after inaugurating the State-of-the-art Indoor Sports Arena and L’atelier: a dedicated block for Arts, Drama & Music at the Greenwood High International School in Bengaluru today, Shri Naidu emphasised the need to inculcate the spirit of service at a young age, The Vice President said, ""Schools must include community service in their curriculum so that children develop an attitude of giving back to society at a young age."""
84,Vice President M. Venkaiah Naidu inaugurated the Indoor Sports Arena at Greenwood High International School in Bengaluru today.
85,"The Vice President wants educational institutions to give equal importance to studies, sports, co-curricular and recreational activities. He also wants students to involve in activities such as gardening, tree plantation and water conservation."
86,"Underlining that NEP-2020 lays emphasis on extracurricular activities, Shri Naidu urged all states to give priority to sports, co-curricular activities and inculcating ethical values among students."
87,Vice President of India urges students to uphold civilizational values and protect India's cultural heritage.
88,India was once known as a ‘Vishwa Guru’ but colonial rule has made us forget our glorious past.
89,"Reiterating his call for promotion and propagation of mother tongue, the Vice President opined that one must learn as many languages as he or she wants but the priority must always be given to learning mother tongue."
90,"Highlighting the importance of physical fitness in our daily lives, Shri Naidu wanted the Fit India movement reach every school, college, university, panchayat and village."
91,Shri Naidu believes that art is the language of humankind. He believes that it is the duty of each one of us to protect and promote the country's art forms.
92,"The Governor of Karnataka, Thaawar Chand Gehlot, the Karnataka Minister, Shri Munirathna, Chairman of Greenwood High International School and Shri Bijay Agarwal were present on the occasion."
93,Vice President underlined the importance of safe drinking water and sanitation for good health and well-being
94,"Continue with the practice of washing hands frequently even after COVID pandemic – Vice President to peopleSafe water, sanitation and hygienic practices must begin from anganwadis and primary schools – Vice PresidentGram Panchayats are at the core of rural water supply; they must be institutionally strengthened for effective service delivery – Vice PresidentVice President inaugurates National WASH Conclave-2022"
95,"The Vice President, Shri M. Venkaiah Naidu, has stressed the importance of basic amenities like safe drinking water and sanitation in preventing diseases and contributing towards the overall well-being of people."
96,"The Vice President of India wants preventive healthcare measures such as safe water, sanitation and hygienic practices to begin from anganwadis and primary schools."
97,"The Vice President, Shri M. Venkaiah Naidu, is inaugurating the National Water, Sanitation and Hygiene Conclave-2022 from Chennai today."
98,"A conference on water, sanitation and hygiene at Panchayats is being held in Hyderabad."
99,Shri Naidu stressed the importance of strengthening Gram Panchayats for effective water supply and sanitation.
100,"The Vice President of India, Shri Naidu, has said that providing safe drinking water and sanitation to rural households is a massive task."
101,Water is Life.
102,Rural water supply networks getting expanded across the country will create a demand for skilled manpower.
103,Vice President of India congratulates the Conclave on water. 
104,Shri Naidu has called for greater attention to improve WASH facilities in rural areas.
105,The Vice President of India has called for an end to indiscriminate disposal of waste.
106,The Vice President inaugurated a Conclave Booklet.
107,Following is the full text of the speech -
108,"I am inaugurating the National Water, Sanitation and Hygiene Conclave."
109,"As we all agree, an adequate amount of safe drinking water for every rural household is a basic necessity. In India, we have made considerable progress in providing water supplies to many villages. However, there is still a need to improve the situation."
110,The government of India and NGOs involved in WASH campaign are working towards ensuring safe water supply and making it available for drinking purposes.
111,There is a lot of civil engineering work involved in providing water and sanitation.
112,SDG-6 on Water and Sanitation is closely related to SDG-3 on Good Health and Well-being.
113,There is a great need to raise awareness about the importance of good sanitation.
114,The COVID-19 pandemic has brought to the fore the importance of washing hands.
115,"The primary schools and anganwadis must improve the health of children by providing safe water, sanitation and hygienic practices."
116,SDG-11 and SDG-12 are about responsible production and consumption and sustainable communities.
117,"The focus of this three-day conclave is on advancing water, sanitation and hygiene at Gram Panchayats."
118,"There will be a huge demand for plumbers, electricians, people trained in chlorination of water and those who can attend to repairs and leakages in pipelines. The local governments in Scandinavian countries manage their skill requirements at the level of counties. "
119,Providing safe drinking water and sanitation to every rural household is a massive task.
120,"In conclusion, I would like to add that I am sure this National WASH Conclave 2022, organised by the National Institute of Rural Development and Panchayati Raj (NIRDPR), Hyderabad in association with the Ministry of Jal Shakti, Ministry of Panchayati Raj, UNICEF and other development partners will provide the much needed momentum to WASH campaign.”"
121,Drive to protect mother tongues should become a people’s movement – Vice President
122,Our languages are unseen threads that link the past with the present – Vice PresidentShri Naidu suggests usage of the term ‘Indian languages’ instead of ‘regional languages’VP emphasizes the need to offer technical courses in Indian languagesAddresses the International Mother Language Day Celebrations
123,"The Vice President, Shri M. Venkaiah Naidu, has said that language is a fundamental bond that unites people and said that the drive to protect and preserve mother tongues should become a people’s movement."
124,The Vice President of India has called for promoting Indian languages among children.
125,Shri Naidu has said that languages are carriers of our cultural heritage.
126,Vice President suggests referring to Indian languages as ‘Indian languages’ instead of ‘regional languages'.
127,The Vice President of India has welcomed the National Education Policy 2020 (NEP-2020).
128,The Vice President of India wants to offer technical courses in Indian languages as part of efforts to promote education in their mother tongue.
129,"All states must use Indian languages as the language of administration and medium of education, M. Venkaiah Naidu has said."
130,"People’s language should be used during governance and court proceedings should also be in Indian languages, according to Shri Naidu."
131,The Vice President has said it was wrong for people to give up using colonial languages and shifted to mother tongues and Indian languages after independence.
132,"The Union Minister, Secretary, Dr Jitendra Singh, former Vice Chancellor, Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha, Prof (Dr) Girishwar Mishra, Joint Secretary, Ministry of Earth Sciences, Ms Indira Murthi and others attended a virtual event to celebrate International Mother Languages Day."
133,Following is the full text of Vice President's speech -
134,“भाषा का जन्म लोगों के बीच संवाद हेतु होता है। उसकी सार्थकता इसी मैं है कि वह इस संवाद को सरल बनाए।
135,Vice President says Bhagavad Gita’s message remains ever-relevant; urges religious leaders to take it to the youth and the masses
136,"‘Spirituality essential to discovering inner strength and mental peace’: Shri NaiduVP expresses concern about mental stress in students, urges having in-house counsellors in educational institutions‘Eradicate stigma related to mental health, initiate public conversations,’ says Shri NaiduInaugurates Fifth Global Bhagavad Gita Convention virtually"
137,"The Vice President of India, Shri M. Venkaiah Naidu, has inaugurated the 5th Global Bhagavad Gita Convention from Chennai."
138,"Shri Naidu, the Vice President of India, is speaking at the Convention on Mental Harmony organised by CIRD, North America."
139,"The Vice President of India, M Venkaiah Naidu, has called for public conversations about the importance of mental health."
140,The Vice President of India has called for parents and teachers to act as counsellors for students who are stressed out by studies.
141,"Every educational institution must have in-house counsellors to help students overcome stressful situations, Shri Naidu has said."
142,"Appreciating the announcement by the Central government to launch a national tele-mental health programme to provide 24x7 free counselling to people, the Vice President said that ‘this is an important step towards ensuring the mental well-being of people, especially those living in remote areas while ensuring their anonymity’."
143,Shri Naidu believes that spirituality is essential to discover one’s inner strength and mental peace and urges religious leaders to promote the message of spirituality to the youth and the masses.
144,"Swami Bhoomananda Thirthaji, the founder of Narayanashrama Tapovanam and visionary behind Global Bhagavad Gita Conventions, Honorable Ms. Justice Indira Banerjee of Supreme Court of India, Swamini Ma Gurupriya, founder and member of Narayana Sthalam, Shri Pankaj Bhatia, President CIRD-NA, Dr. Ravi Jandhyala, Vice-President of CIRD, attended the event."
145,Following is the full text of the speech – 
146,"The Centre for Inner Resources Development (CIRD), North America is organizing the Global Bhagavad Gita Convention 2022."
147,"My humble respects to Poojya Swami Bhoomananda Tirtha Ji, who is the inspiration and the driving force behind this annual event!"
148,The dialogue between Arjuna and Bhagwan Sri Krishna on the plains of Kurukshetra is one of the great Mahabharata dialogues.
149,Arjuna is despondent because he sees his own relatives and people being annihilated by the enemy.
150,"That is when Sri Krishna, his charioteer and the guide by his side, counsels him, and painstakingly answers each and every question and concern that rises in Arjuna’s mind."
151,Sri Krishna's insights and perspectives help Arjuna to shed his indecisiveness and focus on his duties.
152,The Bhagavad Gita is thousands of years old. It is a source of guidance and inspiration for people.
153,"During times of crisis, holy books such as the Bhagavad Gita provide guidance and help in restoring mental peace."
154,"The theme of the convention on ""Mental Harmony"" is apt and timely."
155,Mental health is an important health issue in India.
156,Mental health issues like depression remain under-acknowledged.
157,The recent pandemic affected the mental well-being of the people. The Central government announced a national tele-mental health programme to provide 24x7 free counselling and care to people.
158,Mental health is a public health issue.
