,content
0,PM shares instances of enthusiasm towards the Har Ghar Tiranga Movement
1,"The Prime Minister, Shri Narendra Modi has shared various instances of celebration of the Har Ghar Tiranga Movement from across the country."
2,This is a very special gesture.
3,The Tiranga soaring high! #HarGharTiranga https://t.co/ikakgzhLXQ
4,The Tiranga brings people together.
5,I salute these women for their passion and patriotic spirit.
6,Gujarat's Sardar Sarovar Dam enhances the #HarGharTiranga movement.
7,Jai Hind! #HarGharTiranga https://t.co/2aVXwXC506
8,Azadi Ka Amrit Mahotsav and HarGhar Tiranga are popular among Indian diaspora.
9,India's Yuva Shakti is at the forefront of Har Ghar Tiranga movement.
10,Deendayal Port supports Har Ghar Tiranga movement.
11,Remarkable! #HarGharTiranga https://t.co/wOA2c3gUfN
12,President of India Inaugurates the 2nd International Ambedkar Conclave
13,"The President of India, Shri Ram Nath Kovind, has inaugurated the 2nd International Ambedkar Conclave in New Delhi."
14,"Dr Ambedkar's long struggle for equality, constitutionalism and fraternity established him as a national icon."
15,President of India presents Standards to 118 Helicopter Unit and Colours to Air Defence College
16,"The President of India, Shri Ram Nath Kovind, presented Standards to 118 Helicopter Unit and Colours to Air Defence College in Guwahati, Assam today (November 29, 2018)."
17,"The President of India, Narendra Modi, said that the world looks at India differently today. He expects India to play a prominent role in shaping the global paradigm."
18,President of India Receives the First Copy of the book “Making of New India”
19,"The President of India, Shri Ram Nath Kovind, received the first copy of the book “Making of New India: Transformation under Modi Government” from Arun Jaitley."
20,The Presidents congratulated the government on its achievements. They stressed the importance of governance and the need for an all-inclusive approach to development.
21,The development journey of the country has not been solely driven by the government alone. The zeal with which ordinary citizens have participated in it has been heartening.
22,The President has appreciated the book “Making of New India” and its analysis and papers.
23,"This book, edited by Dr Bibek Debroy, Dr Anirban Ganguly and Shri Kishore Desai, contains 51 essays on themes ranging from economy to diplomacy, education to public health."
24,Click here for the President's speech
25,President of India to Present Standards to 118 Helicopter Unit and Colours to Air Defence College on November 29
26,"The President of India, Shri Ram Nath Kovind, will visit Assam on November 28 and 29, 2018. He will present standards to 118 Helicopter Unit and Colours to Air Defence College."
27,Foreign Minister of Maldives calls on the President
28,"Mr Abdulla Shahid, Minister of Foreign Affairs of the Republic of Maldives, called onthe President of India, Shri Ram Nath Kovind, at Rashtrapati Bhavan today (November 27, 2018)."
29,"Maldives President, Abdulla Ishaq, received Indian President, Pranab Mukherjee and his delegation."
30,The President of Maldives has launched a 100-day action plan aimed at transforming the lives of the people of the Maldives. India will support the government's efforts.
31,President of India Inaugurates Constitution day Celebrations; Says Idea of Social Justice has Expanded to Encompass Modern Civic Parameters like Pollution and Health
32,"The President of India, Shri Ram Nath Kovind, inaugurated theConstitution Day celebrations, organised by the Supreme Court,tomark the anniversary of the adoption of our Constitution on November 26, 1949,today (November 26, 2018) in New Delhi."
33,"The President of India, Pranabhata Bose, has read out the Constitution of India on the occasion."
34,The President praised Dr B. R. Ambedkar and his colleagues in the Constituent Assembly for their generous approach to amending the Constitution.
35,The President of India said that the people of India are custodians of the Constitution.
36,The President said that the most moving word in the Constitution is “justice”.
37,President Muhammadu Buhari has said that social justice remains a touchstone of nation building.
38,"The President of India, Narendra Modi, has said that in India the concept of social justice has expanded to include environmental and climate justice."
39,The President said that technology is an enhancer of justice as well as a challenge.
40,The President said that innovation has also worked for the benefit of disadvantaged sections of society.
41,The President said that innovation and technology bring gains but they also bring challenges.
42,Click here for the President's address.
43,President of India Delivers Lecture on “Australia and India as Knowledge Partners” at University of Melbourne; Calls for Enhanced Sci-Tech and Innovation Relations
44,"The President of India, Shri Ram Nath Kovind, has addressed students and members of academic community at the University of Melbourne."
45,The President of India is visiting Australia. The two countries announced a renewed commitment of Aus$1.5bn for research collaboration.
46,The President of India is in Melbourne. He is visiting the Indian community and the diaspora.
47,"The leader of the opposition in Australia, Bill Shorten, called on President Kovind to express support for good relations with India."
48,"There was a proposal for the President to visit the Melbourne Cricket Ground and meet the Indian and Australian cricket teams playing a T20 match, but it was called off due to bad weather conditions."
49,"Tomorrow (November 24, 2018) morning, the President will fly out of Australia and begin his journey home."
50,Address by the Hon’ble President of India Shri Ram Nath Kovind at the University of Melbourne on the Topic Australia and India as Knowledge Partners”
51,Address by the Hon’ble President of India Shri Ram Nath Kovind At the Luncheon Banquet Hosted by the Governor of Victoria 
52,President’s Message on the Eve of Martyrdom Day of Guru Teg Bahadur
53,"The President of India, Shri Ram Nath Kovind in his message on the eve of the martyrdom day of Guru Tegh Bahadur has said, “On the sacred occasion of the observation of the Martyrdom Day of Guru Teg Bahadur, I pay respectful homage to him."
54,Guru Teg Bahadur encouraged followers to follow his values.
55,President’s Greetings on the eve of Birthday of Guru Nanak
56,"The President of India, Shri Ram Nath Kovind has sent his greetings to fellow citizens on the eve of birthday of Guru Nanak Dev."
57,"In a message, the President has said, “Remembering the life and teachings of Guru Nanak Dev, I offer my greetings and good wishes on this sacred occasion to all my fellow citizens, including members of the Sikh community."
58,The life of Guru Nanak Dev teaches us love and harmony.
59,Guru Nanak Dev was a great believer in the teachings of the Sikh religion.
60,Let us resolve to follow the path shown by Guru Nanak Dev and work for the welfare of the society”.
61,Click here to read President's message in Hindi
62,Address by the Hon’ble President of India Shri Ram Nath Kovind at the Australian Financial Review India Business Summit
63,The President of India is in Sydney to address the Australian Financial Review India Business Summit.
64,I am in India for a visit. I met with Prime Minister Scott Morrison this morning. Prime Minister Morrison is a great fan of Indian food.
65,"Australia and India are united by a history of shared sacrifice on the beaches of Gallipoli, a shared vision for the peace and prosperity of a free, open and rules-based Indo-Pacific Region, an instinct for entrepreneurship, an eco-friendly and environmentally sustainable planet and a shared passion for cricket."
66,"In our conversation, Australia and India discuss the positive impact of globalisation."
67,India is engaged in a huge infrastructure development drive.
68,"India's growth is different from other countries as it seeks to make the leap into industrialisation while also combating climate change. India has set itself a target to generate 175 gigawatts of renewable energy by 2022, of which 100 gigawatts will be solar energy."
69,Fiscal and regulatory processes have also been significantly revamped in India. Goods and Services Tax has brought the 29 states on a common tax platform. India has moved up from 142 to 77 on the World Bank Ease of Doing Business Index.
70,"All of the measures put in place by the Indian government are aimed at promoting India as a hub for new, exciting and global businesses."
71,The international business community has responded to India's achievements with appreciable investment worth US$ 62 billion in financial year 2017-18.
72,An underlying theme of economic and social transformation in India is the role of technology and innovation. Indian IT companies have invested heavily in Australia.
73,There is a gap between the investment story of India and that of Australia.
74,The Indian market offers Australian companies and investors a huge consumer base and the prospect of considerable returns. Australian super-funds or pension funds should consider investing in Indian infrastructure.
75,India and Australia will work towards the conclusion of the Regional Comprehensive Economic Partnership (RCEP) by 2019.
76,"In many ways, society is already ahead of governments. The Indian community in Australia is adding value to the economy. Indian diaspora contribute to local business ecosystems and open job and innovation avenues for its host country."
77,Cricket is a metaphor for life and business. Australian businesspersons and investors looking to India should borrow from the methods of cricketers.
78,The Prime Minister wishes everyone a nice evening.
79,Address by the Hon’ble President of India Shri Ram Nath Kovind At the luncheon banquet hosted by The governor General of Australia
80,"I thank you, Your Excellency, for your gracious words of welcome and warm hospitality."
81,I am paying the first Presidential visit from India to Australia.
82,The strategic partnership and common geopolitical understanding between the US and Russia have enhanced the bilateral engagement.
83,The first settlers came from India in the 18th Century. Four of the first five Governors of this province had spent a substantial part of their careers in India.
84,The leaders of the United States and Pakistan are celebrating their 70th anniversary today.
85,"Excellency, in the past we have fought together for freedom and liberty, and today we are harnessing energies to make the planet sustainable and secure. We are proud of our partnership with Australia."
86,Address by the Hon’ble President of India Shri Ram Nath Kovind On the occasion of unveiling of theStatue of Mahatma Gandhi 
87,I am visiting Paramatta to unveil a statue of Mahatma Gandhi.
88,The Government of India launched a two-year long series of events on the occasion of his 150th birth anniversary.
89,"Mahatma Gandhi's teachings have a special resonance in the world. His favourite bhajan is ""Vaishnava Jan To Tene Kahiye"" by Heather Lee."
90,Mahatma Gandhi's ideas and values resonate in Australia. There is a special connect between Gandhian thought and Australian way of life.
91,Mahatma Gandhi's legacy is relevant to Australian society and values.
92,The statue to be unveiled today in Paramatta symbolizes the historic bond that links Australia and the United States.
93,"On this special occasion, I am gratified to see Indian diaspora members. Gandhiji himself was an expatriate for 21 years before he returned to India."
94,Indian Diaspora members contribute a lot to the development of their country.
95,May we all resolve today to draw inspiration from the life and teachings of Mahatma Gandhi and work for the lasting benefit of humanity? I once again thank the Lord Mayor for making this event a success and all those who have contributed to this wonderful initiative.
96,Address by the Hon’ble President of India Shri Ram Nath Kovind at the Australia-India Business Council Event 
97,I am happy to address the annual Australia-India Business Council event.
98,India and Australia are close friends. They share values and commonalities.
99,"In recent years, India and Australia have stepped up their Strategic Partnership deepening their engagement in defence, security, technology, people-to-people ties. They have matching energy and heightened policy focus on their trade and investment relations. The ""India Economic Strategy"" report has promising ideas and prospects. The response of the Australian government is most encouraging."
100,"India and Australia share strong economic complementarities. Their bilateral trade has grown by 75% in the last five years. Their mutual investment in education, professional services and tourism has also increased. India remains committed to take the proposed Comprehensive Economic Cooperation Agreement forward."
101,The two-way cumulative investment stands at 30 billion Australian dollars.
102,Australian pension funds and innovative products are a natural fit for Indian growth and development. 
103,The prospect to work together and transact gets even more attractive in the backdrop of the transformational economic changes happening in India.
104,"In his speech, Prime Minister Narendra Modi touts India's economic reforms."
105,"Indian infrastructure sector is booming. They built 10,000 km of expressways last year and are planning to build 100 Smart Cities, 7 high speed train corridors and 10 greenfield airports. Australian super funds with considerable investible surplus and its resource sector can invest in Indian infrastructure projects. Similar business opportunities exist in the Indian agriculture and food processing sectors."
106,"In the energy field, we are adding new capacity in nuclear, renewable and conventional segments. We have a target to achieve 175 gigawatts of renewable energy by 2022."
